date,description,amount,payment_mode,category
2026-05-06,DMART *2125,2801.0,NetBanking,Shopping
2026-07-27,PVR CINEMAS *2582,137.0,UPI,Entertainment
2026-01-05,AIRTEL BROADBAND *2893,1615.0,NetBanking,Bills
2026-05-19,FLIPKART *5080,1625.0,UPI,Shopping
2026-06-21,ZOMATO *7056,449.0,UPI,Food
2026-08-05,DMART *2438,4364.0,Card,Shopping
2025-12-08,CHAI POINT *4332,138.0,Card,Food
2026-06-08,DMART *2019,2036.0,UPI,Shopping
2026-06-04,IRCTC TICKET *4711,1600.0,NetBanking,Travel
2025-10-17,IRCTC TICKET *7783,5074.0,NetBanking,Travel
2026-07-08,CHAI POINT *8833,441.0,Card,Food
2025-10-25,JIO RECHARGE *9488,2331.0,NetBanking,Bills
2026-08-27,BOOKMYSHOW *1770,172.0,UPI,Entertainment
2026-07-09,UBER TRIP *9002,4287.0,UPI,Travel
2025-12-23,SPOTIFY *2682,551.0,NetBanking,Entertainment
2026-04-21,IRCTC TICKET *5200,1953.0,UPI,Travel
2026-09-20,IRCTC TICKET *2248,3775.0,NetBanking,Travel
2025-11-14,OLA CABS *4250,457.0,NetBanking,Travel
2026-07-30,AMAZON PAY *6013,4712.0,UPI,Shopping
2025-10-28,ZOMATO *8178,265.0,NetBanking,Food
2026-06-06,SWIGGY ORDER *7837,485.0,UPI,Food
2026-08-24,INDIGO AIRLINES *6661,3957.0,NetBanking,Travel
2025-11-10,MYNTRA *6593,3872.0,Card,Shopping
2026-07-22,AIRTEL BROADBAND *5784,2593.0,UPI,Bills
2026-02-15,AIRTEL BROADBAND *8086,992.0,Card,Bills
2026-08-27,GAS BILL *2160,2031.0,Card,Bills
2026-07-03,DMART *3740,2489.0,NetBanking,Shopping
2026-07-03,zomato *3795   ,242.0,UPI,Food
2026-02-02,UBER TRIP *7295,,UPI,Travel
2026-06-17,ZOMATO *4081,388.0,NetBanking,Food
2025-11-24,TORRENT POWER *6722,2987.0,UPI,Bills
2026-05-12,ZOMATO *8449,122.0,UPI,Food
2026-03-07,netflix *6154   ,877.0,Card,Entertainment
2025-10-01,PVR CINEMAS *6957,234.0,UPI,Entertainment
2025-10-01,UBER TRIP *1318,2304.0,Card,Travel
2026-04-22,UBER TRIP *7401,5676.0,Card,Travel
2025-11-17,PVR CINEMAS *3428,155.0,UPI,Entertainment
2026-06-26,IRCTC TICKET *9102,1560.0,UPI,Travel
2026-07-29,STARBUCKS *9179,713.0,UPI,Food
2026-04-06,FLIPKART *1189,2934.0,Card,Shopping
2026-04-25,SPOTIFY *8313,199.0,Card,Entertainment
2025-12-05,SWIGGY ORDER *5765,437.0,UPI,Food
2026-01-13,LIC PREMIUM *3024,479.0,NetBanking,Bills
2026-06-28,LIC PREMIUM *3709,1304.0,Card,Bills
2026-09-19,RELIANCE TRENDS *2296,4914.0,NetBanking,Shopping
2026-01-03,OLA CABS *9357,1607.0,NetBanking,Travel
2026-02-23,hotstar *8111   ,341.0,UPI,Entertainment
2026-02-17,STARBUCKS *9593,665.0,UPI,Food
2026-01-19,MYNTRA *1918,2997.0,NetBanking,Shopping
2026-09-19,TORRENT POWER *1062,2709.0,NetBanking,Bills
2026-02-02,STARBUCKS *9961,295.0,Card,Food
2026-09-14,SWIGGY ORDER *2809,155.0,Card,Food
2025-11-22,CHAI POINT *7499,227.0,UPI,Food
2026-01-21,GAS BILL *6131,2528.0,UPI,Bills
2026-03-09,AIRTEL BROADBAND *8397,1885.0,Card,Bills
2025-12-30,LIC PREMIUM *2105,2521.0,UPI,Bills
2026-06-30,ZOMATO *3415,310.0,NetBanking,Food
2025-10-02,zomato *7539   ,430.0,Card,Food
2026-03-08,DOMINOS PIZZA *8593,740.0,NetBanking,Food
2026-01-11,METRO RECHARGE *6055,5662.0,UPI,Travel
2026-03-06,STARBUCKS *1190,259.0,Card,Food
2026-04-27,FLIPKART *8240,2756.0,Card,Shopping
2026-09-22,GAS BILL *8494,1355.0,Card,Bills
2025-12-25,NETFLIX *7773,843.0,NetBanking,Entertainment
2026-02-07,CHAI POINT *4814,204.0,NetBanking,Food
2025-12-12,LIC PREMIUM *3015,1808.0,UPI,Bills
2026-01-03,JIO RECHARGE *4898,2490.0,UPI,Bills
2026-08-11,OLA CABS *3376,1080.0,NetBanking,Travel
