date,description,amount,payment_mode,category
2026-05-06,DMART *2125,2801,NetBanking,Shopping
2026-07-27,PVR CINEMAS *2582,137,UPI,Entertainment
2026-01-05,AIRTEL BROADBAND *2893,1615,NetBanking,Bills
2026-05-19,FLIPKART *5080,1625,UPI,Shopping
2026-06-21,ZOMATO *7056,449,UPI,Food
2026-08-05,DMART *2438,4364,Card,Shopping
2025-12-08,CHAI POINT *4332,138,Card,Food
2026-06-08,DMART *2019,2036,UPI,Shopping
2026-06-04,IRCTC TICKET *4711,1600,NetBanking,Travel
2025-10-17,IRCTC TICKET *7783,5074,NetBanking,Travel
2026-07-08,CHAI POINT *8833,441,Card,Food
2025-10-25,JIO RECHARGE *9488,2331,NetBanking,Bills
2026-08-27,BOOKMYSHOW *1770,172,UPI,Entertainment
2026-07-09,UBER TRIP *9002,4287,UPI,Travel
2025-12-23,SPOTIFY *2682,551,NetBanking,Entertainment
2026-04-21,IRCTC TICKET *5200,1953,UPI,Travel
2026-09-20,IRCTC TICKET *2248,3775,NetBanking,Travel
2025-11-14,OLA CABS *4250,457,NetBanking,Travel
2026-07-30,AMAZON PAY *6013,4712,UPI,Shopping
2025-10-28,ZOMATO *8178,265,NetBanking,Food
2026-06-06,SWIGGY ORDER *7837,485,UPI,Food
2026-08-24,INDIGO AIRLINES *6661,3957,NetBanking,Travel
2025-11-10,MYNTRA *6593,3872,Card,Shopping
2026-07-22,AIRTEL BROADBAND *5784,2593,UPI,Bills
2026-02-15,AIRTEL BROADBAND *8086,992,Card,Bills
2026-08-27,GAS BILL *2160,2031,Card,Bills
2026-07-03,DMART *3740,2489,NetBanking,Shopping
2026-07-03,ZOMATO *3795,242,UPI,Food
2026-02-02,UBER TRIP *7295,864,UPI,Travel
2026-06-17,ZOMATO *4081,388,NetBanking,Food
2025-11-24,TORRENT POWER *6722,2987,UPI,Bills
2026-05-12,ZOMATO *8449,122,UPI,Food
2026-03-07,NETFLIX *6154,877,Card,Entertainment
2025-10-01,PVR CINEMAS *6957,234,UPI,Entertainment
2025-10-01,UBER TRIP *1318,2304,Card,Travel
2026-04-22,UBER TRIP *7401,5676,Card,Travel
2025-11-17,PVR CINEMAS *3428,155,UPI,Entertainment
2026-06-26,IRCTC TICKET *9102,1560,UPI,Travel
2026-07-29,STARBUCKS *9179,713,UPI,Food
2026-04-06,FLIPKART *1189,2934,Card,Shopping
2026-04-25,SPOTIFY *8313,199,Card,Entertainment
2025-12-05,SWIGGY ORDER *5765,437,UPI,Food
2026-01-13,LIC PREMIUM *3024,479,NetBanking,Bills
2026-06-28,LIC PREMIUM *3709,1304,Card,Bills
2026-09-19,RELIANCE TRENDS *2296,4914,NetBanking,Shopping
2026-01-03,OLA CABS *9357,1607,NetBanking,Travel
2026-02-23,HOTSTAR *8111,341,UPI,Entertainment
2026-02-17,STARBUCKS *9593,665,UPI,Food
2026-01-19,MYNTRA *1918,2997,NetBanking,Shopping
2026-09-19,TORRENT POWER *1062,2709,NetBanking,Bills
2026-02-02,STARBUCKS *9961,295,Card,Food
2026-09-14,SWIGGY ORDER *2809,155,Card,Food
2025-11-22,CHAI POINT *7499,227,UPI,Food
2026-01-21,GAS BILL *6131,2528,UPI,Bills
2026-03-09,AIRTEL BROADBAND *8397,1885,Card,Bills
2025-12-30,LIC PREMIUM *2105,2521,UPI,Bills
2026-06-30,ZOMATO *3415,310,NetBanking,Food
2025-10-02,ZOMATO *7539,430,Card,Food
2026-03-08,DOMINOS PIZZA *8593,740,NetBanking,Food
2026-01-11,METRO RECHARGE *6055,5662,UPI,Travel
2026-03-06,STARBUCKS *1190,259,Card,Food
2026-04-27,FLIPKART *8240,2756,Card,Shopping
2026-09-22,GAS BILL *8494,1355,Card,Bills
2025-12-25,NETFLIX *7773,843,NetBanking,Entertainment
2026-02-07,CHAI POINT *4814,204,NetBanking,Food
2025-12-12,LIC PREMIUM *3015,1808,UPI,Bills
2026-01-03,JIO RECHARGE *4898,2490,UPI,Bills
2026-08-11,OLA CABS *3376,1080,NetBanking,Travel
2025-11-30,AIRTEL BROADBAND *7681,214,Card,Bills
2025-10-17,SWIGGY ORDER *1855,630,NetBanking,Food
2026-04-03,AIRTEL BROADBAND *6752,887,Card,Bills
2025-12-03,DMART *9445,3748,Card,Shopping
2026-01-18,TORRENT POWER *8623,2285,Card,Bills
2026-04-01,FLIPKART *3587,3462,NetBanking,Shopping
2026-06-26,JIO RECHARGE *9737,1619,NetBanking,Bills
2026-07-14,AMAZON PAY *3463,2729,NetBanking,Shopping
2025-12-04,LIC PREMIUM *4760,2200,UPI,Bills
2026-08-09,JIO RECHARGE *3418,1464,Card,Bills
2026-05-20,HOTSTAR *9068,286,UPI,Entertainment
2026-07-17,TORRENT POWER *9234,1759,Card,Bills
2026-04-07,SWIGGY ORDER *8799,672,Card,Food
2026-07-27,SPOTIFY *4665,821,Card,Entertainment
2026-08-08,CHAI POINT *1928,176,Card,Food
2026-05-09,LIC PREMIUM *2177,814,UPI,Bills
2026-01-01,ZOMATO *1238,264,UPI,Food
2026-05-19,RELIANCE TRENDS *2588,4078,UPI,Shopping
2026-02-26,JIO RECHARGE *2069,1317,Card,Bills
2026-07-14,BOOKMYSHOW *5971,835,Card,Entertainment
2026-05-08,JIO RECHARGE *6696,1405,NetBanking,Bills
2025-11-02,DMART *6154,3859,NetBanking,Shopping
2026-06-03,FLIPKART *9102,4856,Card,Shopping
2026-07-14,IRCTC TICKET *3939,4102,Card,Travel
2026-06-02,LIC PREMIUM *2900,2367,Card,Bills
2026-04-10,BOOKMYSHOW *7802,205,Card,Entertainment
2026-01-03,HOTSTAR *3939,122,NetBanking,Entertainment
2026-01-26,CHAI POINT *6599,364,NetBanking,Food
2026-03-13,NETFLIX *6988,555,NetBanking,Entertainment
2026-03-02,OLA CABS *1066,676,Card,Travel
2026-08-07,INDIGO AIRLINES *9453,1482,Card,Travel
2026-08-04,PVR CINEMAS *3292,613,UPI,Entertainment
2025-12-19,SPOTIFY *8953,787,Card,Entertainment
2026-04-05,BOOKMYSHOW *2907,236,Card,Entertainment
2026-06-08,RELIANCE TRENDS *6634,2323,NetBanking,Shopping
2026-09-07,ZOMATO *2699,65,UPI,Food
2025-11-27,LIC PREMIUM *8984,556,UPI,Bills
2026-08-01,OLA CABS *5241,5934,Card,Travel
2026-05-25,CHAI POINT *8415,427,NetBanking,Food
2026-06-24,STARBUCKS *6730,544,UPI,Food
2026-08-14,STARBUCKS *6582,258,NetBanking,Food
2026-02-10,GAS BILL *7794,270,Card,Bills
2026-02-16,HOTSTAR *5419,891,NetBanking,Entertainment
2025-12-24,OLA CABS *8288,3243,Card,Travel
2026-03-22,BOOKMYSHOW *1671,262,UPI,Entertainment
2025-10-08,BOOKMYSHOW *7676,247,UPI,Entertainment
2026-03-23,GAS BILL *1526,2046,NetBanking,Bills
2026-03-10,CHAI POINT *6699,457,UPI,Food
2025-10-13,METRO RECHARGE *7915,5073,UPI,Travel
2026-08-27,STARBUCKS *8069,798,UPI,Food
2026-07-16,HOTSTAR *2460,760,UPI,Entertainment
2026-07-21,TORRENT POWER *7241,2995,NetBanking,Bills
2026-01-20,NETFLIX *1205,283,Card,Entertainment
2026-06-02,METRO RECHARGE *2968,743,Card,Travel
2026-06-07,DOMINOS PIZZA *6644,864,NetBanking,Food
2026-01-16,STARBUCKS *2674,348,UPI,Food
2025-10-16,UBER TRIP *9684,5585,Card,Travel
2025-12-04,SWIGGY ORDER *6614,752,NetBanking,Food
2026-09-04,SWIGGY ORDER *5893,320,NetBanking,Food
2026-03-13,HOTSTAR *1285,363,UPI,Entertainment
2026-04-04,RELIANCE TRENDS *3179,1604,Card,Shopping
2025-12-21,RELIANCE TRENDS *8823,4435,UPI,Shopping
2025-12-10,SWIGGY ORDER *5025,278,UPI,Food
2025-11-19,RELIANCE TRENDS *5958,3763,Card,Shopping
2025-10-26,UBER TRIP *1453,1744,UPI,Travel
2025-12-25,INDIGO AIRLINES *7558,2066,Card,Travel
2026-04-21,CHAI POINT *9215,370,UPI,Food
2025-11-22,AMAZON PAY *1502,1539,Card,Shopping
2026-03-19,IRCTC TICKET *1545,2501,NetBanking,Travel
2026-08-06,BOOKMYSHOW *1667,397,UPI,Entertainment
2025-10-25,PVR CINEMAS *6772,215,Card,Entertainment
2025-10-24,ZOMATO *2741,770,Card,Food
2026-03-02,BOOKMYSHOW *4084,732,NetBanking,Entertainment
2026-05-28,AMAZON PAY *6917,1994,UPI,Shopping
2025-11-02,SPOTIFY *5299,616,UPI,Entertainment
2026-01-16,BOOKMYSHOW *4075,191,NetBanking,Entertainment
2026-08-02,SWIGGY ORDER *2689,553,Card,Food
2026-06-18,GAS BILL *1804,1083,Card,Bills
2026-01-01,BOOKMYSHOW *1386,448,Card,Entertainment
2025-11-24,NETFLIX *2446,515,UPI,Entertainment
2026-05-06,GAS BILL *9707,1775,UPI,Bills
2026-08-26,UBER TRIP *2537,5216,Card,Travel
2026-01-01,UBER TRIP *9175,3888,NetBanking,Travel
2025-10-25,ZOMATO *8468,398,NetBanking,Food
2026-03-13,IRCTC TICKET *5042,5270,Card,Travel
2026-09-23,MYNTRA *6647,2622,Card,Shopping
2026-03-21,SWIGGY ORDER *1719,134,Card,Food
2025-12-28,INDIGO AIRLINES *4406,1827,UPI,Travel
2026-04-24,CHAI POINT *7783,534,NetBanking,Food
2026-08-16,DOMINOS PIZZA *1500,245,NetBanking,Food
2026-07-03,NETFLIX *7382,400,Card,Entertainment
2026-05-14,OLA CABS *9861,5899,UPI,Travel
2026-01-14,OLA CABS *2702,2041,UPI,Travel
2026-02-05,UBER TRIP *6406,4112,Card,Travel
2026-09-05,METRO RECHARGE *8493,4143,UPI,Travel
2026-07-15,SPOTIFY *4155,120,NetBanking,Entertainment
2026-03-10,HOTSTAR *1238,630,Card,Entertainment
